org,ada,issue_date,subject,award_amount,supplier_afm,supplier_name
99221986,9Ι8Σ4690ΩΔ-Α6Ι,2025-04-14,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΕΓΚΡΙΣΗΣ ΤΟΥ ΥΠ'ΑΡΙΘΜ.ΠΡΩΤ.11831/21-03-2025 ΠΡΑΚΤΙΚΟΥ ΑΞΙΟΛΟΓΗΣΗΣ ΤΗΣ ΠΡΟΣΦΟΡΑΣ ΠΟΥ ΚΑΤΑΤΕΘΗΚΕ ΣΤΟ ΠΛΑΙΣΙΟ ΤΗΣ Δ10/2025 ΔΠΤ ΠΡΟΣΚΛΗΣΗΣ ΣΕ ΔΙΑΔΙΚΑΣΙΑ ΔΙΑΠΡΑΓΜΑΤΕΥΣΗΣ,,,
99221986,Ρ66Ψ4690ΩΔ-Π5Σ,2025-04-24,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΚΑΤΑΚΥΡΩΣΗ ΑΠΟΤΕΛΕΣΜΑΤΟΣ Δ13//2025 ΔΠΤ,,,
99221986,ΨΑΗ24690ΩΔ-ΡΒ0,2025-04-04,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ Την απευθείας ανάθεση σύμφωνα με το άρθρο 118 του ν.4412/2016, στην εταιρεία ΒΑΡΕΛΑΣ Α.Ε., για την προμήθεια ετήσιων Σχημάτων Εξωτερικών Ποιοτικών Ελέγχων, που χρησιμοποιούνται γι",,,
99221986,6ΓΧ54690ΩΔ-Α4Σ,2025-04-17,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ απευθείας ανάθεση σύμφωνα με το άρθρο 118 του ν.4412/2016, στην εταιρεία ΒΑΡΕΛΑΣ Α.Ε. με ΑΦΜ 094047060, που εδρεύει στην Αθήνα, Δήμος Κηφισιά, οδό Ελευθερίας 4 ΤΚ 14564, για τ",26000.0,,
99221986,ΨΣΑ04690ΩΔ-9ΤΡ,2025-04-22,'Eγκριση του υπ΄ αριθμ. πρωτ. 15110/14-04-2025 Πρακτικού αξιολόγησης της προσφοράς που κατατέθηκε στο πλαίσιο της Δ21/2025 Α.Α. Πρόσκληση υποβολής προσφοράς για την παροχή Υπηρεσιών Προστασίας Δεδομέν,25000.0,,
99221986,951Υ4690ΩΔ-ΚΗΠ,2025-04-16,Απόφαση Διοικητή έγκρισης πρακτικών και κατακύρωσης του υπ’ αριθμ. Δ33/2024 Δημόσιου Ανοιχτού Ηλεκτρονικού διαγωνισμού για την προμήθεια ενός (1) κλιβάνου θερμοευαίσθητων υλικών,,,
99221986,9ΕΝΗ4690ΩΔ-ΗΞ8,2025-03-21,"Απευθείας ανάθεση σύμφωνα με το άρθρο 118 του ν.4412/2016, στην εταιρεία INTEROPTICS ΑΕΕ  για τη  προμήθεια 150 αδειών Radiant για διάστημα 2 ετών, ενδεικτικού προϋπολογισμού (μη συμπεριλαμβανομένου Φ",,,
99221986,Ψ6ΧΜ4690ΩΔ-ΜΥΕ,2025-03-12,"Έγκριση του Πρακτικού Αξιολόγησης Προσφορών και κατακύρωσης αποτελέσματος της Δ05/2025 Α.Α. Πρόσκλησης εκδήλωσης ενδιαφέροντος αντί απευθείας ανάθεσης, σύμφωνα με το άρθρο 118 του Ν.4412/2016, για την",,,
99221986,ΡΛ8Θ4690ΩΔ-66Ε,2025-03-20,Έγκριση του πρακτικού ελέγχου των δικαιολογητικών κατακύρωσης και οριστική κατακύρωση του Τμήματος 1 του υπ’ αριθμ. Δ24/2024 ΔΔ Διεθνούς Ανοιχτού Ηλεκτρονικού διαγωνισμού για την προμήθεια ξενοδοχειακ,,,
99221986,6ΜΖ74690ΩΔ-ΩΞΞ,2025-03-18,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ για Την απευθείας ανάθεση σύμφωνα με το άρθρο 118 του ν.4412/2016, στην εξειδικευμένη σε περιβαλλοντική αδειοδότηση έργων εταιρεία PASECO ΜΟΝΟΠΡΟΣΩΠΗ για την  εκπόνηση νέας μελέτης (C",,,
99221986,Ρ7844690ΩΔ-ΦΒΔ,2025-03-18,Την ανάθεση σύμφωνα με το άρθρο 118 ν. 4412/2016 της άμεσης προμήθειας μιας καινούργιας ακτινολογικής λυχνίας για τον αξονικό τομογράφο σχεδιασμού πλάνων/εξομοίωσης ακτινοθεραπείας GE HiSpeed Dxi στην,,,
99221986,6ΗΗΓ4690ΩΔ-ΚΑΣ,2025-03-12,"Έγκριση του Πρακτικού Αξιολόγησης Προσφορών και κατακύρωσης αποτελέσματος της Δ02/2025 Α.Α. Πρόσκλησης εκδήλωσης ενδιαφέροντος αντί απευθείας ανάθεσης, σύμφωνα με το άρθρο 118 του Ν.4412/2016, για την",,,
99221986,91134690ΩΔ-423,2025-03-11,Έγκριση του Πρακτικού επικαιροποιημένων δικαιολογητικών κατακύρωσης για τη σύναψη εκτελεστικών συμβάσεων της 49/2024 ΕΚΑΠΥ 10/2023 Σύμβασης- Συμφωνία Πλαίσιο για την προμήθεια Ειδικών Αναλωσίμων Υλικώ,,,
99221986,ΨΗΦΛ4690ΩΔ-ΡΜΔ,2025-03-10,Έγκριση Πρακτικών ΔΣ και οριστική κατακύρωση του Δ28/2024 ΔΔ Δημοσίου Ανοιχτού Ηλεκτρονικού Διαγωνισμού για την προμήθεια αναλωσίμων εγχυτή αξονικού τομογράφου με συνοδό εξοπλισμό (CPV: 33194120-3),,,
99221986,93Μ94690ΩΔ-Μ97,2025-02-03,"Έγκριση Πρακτικών αξιολόγησης δικαιολογητικών συμμετοχής, τεχνικών προσφορών και οικονομικών προσφορών και οριστικής κατακύρωσης του υπ’ αριθμ. Δ34/2023 Δημόσιου Ανοιχτού Ηλεκτρονικού διαγωνισμού για ",,,
99221986,ΨΣΦΗ4690ΩΔ-Π1Δ,2025-02-12,Έγκριση πρακτικών του Δ55/2024 ΔΔ Δημόσιου Ανοιχτού Ηλεκτρονικού διαγωνισμού για την ανάδειξη αναδόχου για την αναβάθμιση / εκσυγχρονισμό του συστήματος επεξεργασίας και διανομής νερού της Μονάδας Τεχ,,,
99221986,62Κ84690ΩΔ-1Υ4,2025-01-28,Απόφαση ΔΣ έγκρισης του πρακτικού αποσφράγισης και ελέγχου των δικαιολογητικών κατακύρωσης και οριστική κατακύρωση του τμήματος 10 του Δ16/2021 Διεθνούς Ανοικτού Ηλεκτρονικού Διαγωνισμού για την προμή,,,
99221986,ΨΔΨΡ4690ΩΔ-Ι7Τ,2025-01-28,"Απόφαση ΔΣ έγκρισης πρακτικών και οριστικής κατακύρωσης του Δ40/2024 Διεθνούς Ανοιχτού Ηλεκτρονικού διαγωνισμού για την προμήθεια υγρού οξυγόνου, υγρού αζώτου, ιατρικών και λοιπών αερίων για τις ανάγκ",,,
